account_id,customer_id,account_type,currency,open_date,status
1,697,Текущий,RUB,2025-01-06,Активен
2,136,Текущий,RUB,2024-04-08,Закрыт
3,180,Текущий,RUB,2025-11-29,Активен
4,299,Текущий,RUB,2025-11-06,Активен
5,442,Текущий,RUB,2025-12-24,Активен
6,34,Текущий,RUB,2024-11-05,Закрыт
7,161,Сберегательный,RUB,2024-08-10,Активен
8,624,Сберегательный,RUB,2025-10-18,Закрыт
9,297,Сберегательный,RUB,2025-09-11,Активен
10,337,Сберегательный,RUB,2024-03-19,Активен
11,265,Текущий,RUB,2023-06-11,Активен
12,351,Текущий,RUB,2025-07-08,Закрыт
13,344,Сберегательный,RUB,2025-06-17,Активен
14,701,Текущий,RUB,2025-08-31,Активен
15,536,Текущий,RUB,2023-05-24,Активен
16,394,Сберегательный,RUB,2025-01-18,Активен
17,260,Сберегательный,RUB,2025-07-09,Активен
18,487,Сберегательный,RUB,2025-03-04,Активен
19,634,Текущий,RUB,2023-10-11,Активен
20,458,Сберегательный,RUB,2024-10-26,Активен
21,211,Текущий,RUB,2025-04-11,Закрыт
22,40,Текущий,RUB,2025-09-07,Активен
23,746,Сберегательный,RUB,2023-08-29,Активен
24,580,Сберегательный,RUB,2024-08-06,Активен
25,221,Текущий,RUB,2025-11-29,Активен
26,413,Текущий,RUB,2024-07-26,Закрыт
27,211,Сберегательный,RUB,2023-06-01,Активен
28,761,Текущий,RUB,2022-12-26,Активен
29,147,Сберегательный,RUB,2025-05-17,Активен
30,29,Текущий,RUB,2025-06-11,Активен
31,342,Сберегательный,RUB,2022-12-30,Закрыт
32,338,Текущий,RUB,2025-03-25,Активен
33,122,Текущий,RUB,2024-12-13,Закрыт
34,393,Текущий,RUB,2025-09-18,Активен
35,756,Текущий,RUB,2023-10-23,Активен
36,217,Сберегательный,RUB,2025-12-24,Активен
37,682,Сберегательный,RUB,2023-06-22,Активен
38,372,Сберегательный,RUB,2025-10-04,Активен
39,392,Текущий,RUB,2025-11-11,Активен
40,541,Сберегательный,RUB,2025-12-08,Закрыт
41,714,Сберегательный,USD,2025-07-21,Активен
42,61,Текущий,USD,2025-06-06,Активен
43,457,Текущий,RUB,2022-10-16,Активен
44,64,Текущий,RUB,2025-04-01,Активен
45,667,Сберегательный,RUB,2025-10-04,Активен
46,193,Текущий,RUB,2023-08-20,Активен
47,278,Текущий,RUB,2025-04-17,Активен
48,348,Сберегательный,RUB,2025-05-18,Закрыт
49,574,Сберегательный,RUB,2024-04-26,Активен
50,661,Текущий,RUB,2025-01-18,Активен
51,766,Текущий,RUB,2024-10-13,Активен
52,351,Текущий,RUB,2025-07-08,Активен
53,354,Текущий,RUB,2023-09-28,Закрыт
54,407,Текущий,RUB,2025-01-25,Закрыт
55,527,Текущий,RUB,2025-06-10,Закрыт
56,566,Сберегательный,RUB,2025-08-31,Активен
57,78,Текущий,RUB,2025-06-06,Активен
58,434,Сберегательный,RUB,2025-02-08,Активен
59,701,Текущий,RUB,2025-08-31,Активен
60,362,Текущий,RUB,2025-12-20,Активен
61,510,Сберегательный,RUB,2024-09-09,Активен
62,204,Текущий,RUB,2025-10-08,Активен
63,599,Сберегательный,EUR,2024-09-27,Активен
64,629,Сберегательный,RUB,2024-10-01,Активен
65,54,Сберегательный,RUB,2024-08-22,Активен
66,211,Сберегательный,RUB,2025-01-19,Активен
67,446,Текущий,RUB,2025-02-08,Активен
68,367,Сберегательный,RUB,2024-08-10,Активен
69,587,Текущий,RUB,2022-11-06,Активен
70,766,Сберегательный,EUR,2024-10-13,Активен
71,189,Текущий,RUB,2025-06-02,Активен
72,736,Сберегательный,RUB,2024-12-06,Активен
73,615,Текущий,RUB,2023-04-28,Активен
74,135,Текущий,RUB,2025-03-25,Активен
75,114,Текущий,EUR,2024-08-10,Активен
76,788,Сберегательный,RUB,2025-04-04,Активен
77,474,Текущий,RUB,2025-10-31,Активен
78,399,Текущий,RUB,2025-01-28,Активен
79,380,Сберегательный,RUB,2025-11-19,Активен
80,627,Текущий,RUB,2024-11-30,Активен
81,425,Сберегательный,RUB,2025-11-13,Активен
82,244,Текущий,USD,2024-01-05,Активен
83,91,Сберегательный,RUB,2025-09-27,Активен
84,692,Сберегательный,RUB,2024-07-12,Закрыт
85,676,Сберегательный,RUB,2024-09-21,Активен
86,232,Сберегательный,RUB,2023-07-19,Активен
87,517,Текущий,RUB,2023-11-10,Активен
88,236,Текущий,RUB,2024-08-19,Закрыт
89,390,Сберегательный,RUB,2024-07-09,Активен
90,503,Текущий,RUB,2025-11-03,Активен
91,677,Сберегательный,RUB,2024-06-26,Активен
92,137,Текущий,RUB,2024-09-26,Активен
93,117,Сберегательный,RUB,2023-04-06,Закрыт
94,370,Текущий,RUB,2025-05-03,Закрыт
95,190,Сберегательный,RUB,2025-07-05,Активен
96,634,Текущий,RUB,2024-12-09,Закрыт
97,96,Текущий,RUB,2023-02-16,Активен
98,241,Текущий,RUB,2022-07-05,Закрыт
99,716,Текущий,RUB,2024-09-26,Активен
100,418,Сберегательный,RUB,2023-07-14,Активен
101,359,Сберегательный,RUB,2024-10-23,Активен
102,58,Текущий,RUB,2023-06-14,Активен
103,313,Текущий,RUB,2024-03-02,Активен
104,314,Текущий,RUB,2025-08-18,Активен
105,419,Текущий,RUB,2024-04-18,Активен
