payment_id,loan_id,due_date,amount_due,amount_paid,payment_status
1,1,2025-12-13,21681.91,21681.91,Оплачен вовремя
2,2,2025-12-20,4214.65,4214.65,Оплачен вовремя
3,3,2023-06-29,414720.62,414720.62,Оплачен вовремя
4,3,2023-07-29,414720.62,0.0,Не оплачен
5,3,2023-08-28,414720.62,414720.62,Оплачен вовремя
6,3,2023-09-27,414720.62,0.0,Не оплачен
7,3,2023-10-27,414720.62,414720.62,Оплачен вовремя
8,3,2023-11-26,414720.62,0.0,Не оплачен
9,3,2023-12-26,414720.62,414720.62,Оплачен вовремя
10,3,2024-01-25,414720.62,0.0,Не оплачен
11,3,2024-02-24,414720.62,414720.62,Просрочен
12,4,2025-06-25,6671.3,6671.3,Оплачен вовремя
13,4,2025-07-25,6671.3,6671.3,Оплачен вовремя
14,4,2025-08-24,6671.3,6671.3,Оплачен вовремя
15,4,2025-09-23,6671.3,6671.3,Оплачен вовремя
16,4,2025-10-23,6671.3,6671.3,Оплачен вовремя
17,4,2025-11-22,6671.3,6671.3,Оплачен вовремя
18,4,2025-12-22,6671.3,6671.3,Оплачен вовремя
19,5,2023-12-25,1373831.4,1373831.4,Оплачен вовремя
20,5,2024-01-24,1373831.4,1373831.4,Оплачен вовремя
21,5,2024-02-23,1373831.4,1373831.4,Оплачен вовремя
22,6,2025-05-03,251369.56,251369.56,Оплачен вовремя
23,6,2025-06-02,251369.56,251369.56,Оплачен вовремя
24,6,2025-07-02,251369.56,251369.56,Оплачен вовремя
25,7,2023-05-22,22478.8,22478.8,Оплачен вовремя
26,7,2023-06-21,22478.8,22478.8,Оплачен вовремя
27,7,2023-07-21,22478.8,22478.8,Оплачен вовремя
28,7,2023-08-20,22478.8,22478.8,Оплачен вовремя
29,7,2023-09-19,22478.8,22478.8,Оплачен вовремя
30,7,2023-10-19,22478.8,22478.8,Оплачен вовремя
31,7,2023-11-18,22478.8,22478.8,Оплачен вовремя
32,7,2023-12-18,22478.8,22478.8,Оплачен вовремя
33,7,2024-01-17,22478.8,22478.8,Оплачен вовремя
34,7,2024-02-16,22478.8,22478.8,Оплачен вовремя
35,7,2024-03-17,22478.8,22478.8,Оплачен вовремя
36,7,2024-04-16,22478.8,22478.8,Оплачен вовремя
37,9,2025-07-09,26730.24,26730.24,Оплачен вовремя
38,9,2025-08-08,26730.24,26730.24,Оплачен вовремя
39,9,2025-09-07,26730.24,26730.24,Оплачен вовремя
40,9,2025-10-07,26730.24,26730.24,Оплачен вовремя
41,9,2025-11-06,26730.24,26730.24,Оплачен вовремя
42,9,2025-12-06,26730.24,26730.24,Оплачен вовремя
43,10,2025-04-15,20342.5,20342.5,Оплачен вовремя
44,10,2025-05-15,20342.5,20342.5,Оплачен вовремя
45,10,2025-06-14,20342.5,20342.5,Оплачен вовремя
46,10,2025-07-14,20342.5,20342.5,Оплачен вовремя
47,10,2025-08-13,20342.5,20342.5,Оплачен вовремя
48,10,2025-09-12,20342.5,20342.5,Оплачен вовремя
49,10,2025-10-12,20342.5,20342.5,Оплачен вовремя
50,10,2025-11-11,20342.5,20342.5,Оплачен вовремя
51,10,2025-12-11,20342.5,20342.5,Оплачен вовремя
52,11,2022-05-19,8486.67,8486.67,Оплачен вовремя
53,11,2022-06-18,8486.67,8486.67,Оплачен вовремя
54,11,2022-07-18,8486.67,8486.67,Оплачен вовремя
55,11,2022-08-17,8486.67,0.0,Не оплачен
56,11,2022-09-16,8486.67,8486.67,Оплачен вовремя
57,11,2022-10-16,8486.67,8486.67,Оплачен вовремя
58,11,2022-11-15,8486.67,8486.67,Оплачен вовремя
59,11,2022-12-15,8486.67,8486.67,Просрочен
60,11,2023-01-14,8486.67,8486.67,Оплачен вовремя
61,11,2023-02-13,8486.67,8486.67,Оплачен вовремя
62,11,2023-03-15,8486.67,8486.67,Оплачен вовремя
63,11,2023-04-14,8486.67,8486.67,Оплачен вовремя
64,11,2023-05-14,8486.67,8486.67,Просрочен
65,11,2023-06-13,8486.67,8486.67,Оплачен вовремя
66,11,2023-07-13,8486.67,8486.67,Просрочен
67,11,2023-08-12,8486.67,8486.67,Просрочен
68,11,2023-09-11,8486.67,8486.67,Оплачен вовремя
69,11,2023-10-11,8486.67,8486.67,Оплачен вовремя
70,11,2023-11-10,8486.67,8486.67,Оплачен вовремя
71,11,2023-12-10,8486.67,8486.67,Оплачен вовремя
72,11,2024-01-09,8486.67,8486.67,Оплачен вовремя
73,11,2024-02-08,8486.67,8486.67,Просрочен
74,11,2024-03-09,8486.67,8486.67,Оплачен вовремя
75,11,2024-04-08,8486.67,8486.67,Просрочен
