loan_id,customer_id,loan_type,amount,interest_rate,term_months,issue_date,branch,status,risk_score
1,341,Потребительский,513000.0,17.23,24,2025-11-13,Отделение №2,Активен,0.647
2,275,Потребительский,150000.0,13.82,36,2025-11-20,Отделение №7,Активен,0.212
3,174,Вексель,3707000.0,8.25,9,2023-05-30,Отделение №6,Просрочен,0.059
4,631,Кредитная карта,157000.0,23.78,24,2025-05-26,Отделение №10,Активен,0.967
5,266,Вексель,4068000.0,15.78,3,2023-11-25,Отделение №7,Закрыт,0.381
6,557,Вексель,748000.0,9.8,3,2025-04-03,Отделение №8,Закрыт,0.17
7,15,Кредитная карта,267000.0,12.34,12,2023-04-22,Отделение №3,Закрыт,0.53
8,509,Потребительский,285000.0,22.54,24,2025-12-14,Отделение №12,Активен,0.835
9,532,Ипотека,6301000.0,21.76,240,2025-06-09,Отделение №9,Активен,0.927
10,358,Потребительский,720000.0,20.55,36,2025-03-16,Отделение №14,Активен,0.151
11,609,Кредитная карта,202000.0,9.98,24,2022-04-19,Отделение №3,Просрочен,0.055
12,15,Потребительский,245000.0,8.63,48,2024-06-12,Отделение №8,Активен,0.895
13,703,Потребительский,317000.0,15.57,48,2024-07-26,Отделение №14,Активен,0.846
14,185,Потребительский,312000.0,9.82,24,2023-08-05,Отделение №9,Закрыт,0.168
15,189,Вексель,2860000.0,24.86,6,2025-06-02,Отделение №13,Просрочен,0.004
16,283,Автокредит,1483000.0,20.64,24,2023-05-20,Отделение №15,Закрыт,0.677
17,552,Потребительский,263000.0,13.37,12,2024-07-17,Отделение №2,Закрыт,0.929
18,357,Вексель,853000.0,21.78,3,2025-04-03,Отделение №8,Закрыт,0.66
19,719,Автокредит,1100000.0,24.34,24,2024-10-10,Отделение №8,Активен,0.656
20,391,Потребительский,599000.0,22.38,24,2023-03-09,Отделение №5,Закрыт,0.802
21,543,Потребительский,92000.0,24.01,12,2025-06-12,Отделение №7,Активен,0.381
22,499,Потребительский,230000.0,6.88,48,2022-10-30,Отделение №7,Активен,0.208
23,643,Вексель,1496000.0,11.99,6,2023-09-09,Отделение №12,Закрыт,0.801
24,682,Вексель,1619000.0,18.75,6,2024-01-06,Отделение №9,Закрыт,0.832
25,671,Потребительский,384000.0,11.44,48,2024-09-02,Отделение №2,Активен,0.6
26,770,Вексель,4074000.0,18.1,6,2024-06-08,Отделение №9,Закрыт,0.093
27,597,Потребительский,398000.0,19.13,24,2025-08-19,Отделение №8,Активен,0.155
28,55,Автокредит,2083000.0,15.12,24,2023-08-19,Отделение №13,Просрочен,0.079
29,203,Ипотека,3486000.0,23.11,180,2025-11-02,Отделение №9,Активен,0.842
30,142,Ипотека,7685000.0,15.95,120,2022-04-13,Отделение №7,Активен,0.511
31,113,Потребительский,546000.0,11.19,36,2023-12-29,Отделение №9,Дефолт,0.082
32,370,Потребительский,605000.0,20.97,48,2025-05-03,Отделение №1,Активен,0.843
33,650,Потребительский,708000.0,17.3,36,2023-10-05,Отделение №11,Активен,0.455
34,356,Ипотека,10078000.0,10.38,240,2025-06-13,Отделение №10,Дефолт,0.078
35,798,Потребительский,555000.0,6.83,48,2024-12-30,Отделение №1,Активен,0.395
36,420,Потребительский,408000.0,24.27,48,2025-09-09,Отделение №8,Активен,0.602
37,318,Потребительский,660000.0,18.9,36,2025-11-15,Отделение №7,Активен,0.69
38,784,Вексель,529000.0,10.01,6,2022-08-01,Отделение №12,Закрыт,0.816
39,446,Кредитная карта,262000.0,18.43,12,2025-02-08,Отделение №7,Активен,0.65
40,158,Вексель,4305000.0,12.04,6,2024-06-06,Отделение №8,Закрыт,0.463
41,600,Ипотека,3165000.0,14.69,180,2025-12-09,Отделение №1,Активен,0.485
42,286,Кредитная карта,188000.0,16.98,12,2025-03-02,Отделение №1,Активен,0.834
43,445,Потребительский,127000.0,22.11,48,2024-05-01,Отделение №10,Активен,0.737
44,236,Вексель,4995000.0,13.85,3,2024-09-25,Отделение №12,Закрыт,0.513
45,359,Автокредит,2165000.0,19.64,60,2024-10-23,Отделение №7,Активен,0.528
46,223,Автокредит,1838000.0,14.18,48,2025-08-20,Отделение №8,Активен,0.473
47,552,Автокредит,2080000.0,14.53,60,2025-11-29,Отделение №12,Активен,0.161
48,635,Потребительский,308000.0,10.54,24,2024-11-05,Отделение №6,Активен,0.909
49,378,Кредитная карта,260000.0,15.12,36,2025-09-17,Отделение №12,Активен,0.883
50,606,Вексель,4803000.0,21.22,9,2024-08-25,Отделение №10,Закрыт,0.845
51,115,Потребительский,568000.0,15.39,12,2025-09-28,Отделение №3,Активен,0.173
52,698,Автокредит,662000.0,12.09,60,2025-01-30,Отделение №1,Активен,0.209
53,738,Кредитная карта,127000.0,18.96,24,2024-06-20,Отделение №14,Активен,0.175
54,241,Кредитная карта,39000.0,14.42,12,2023-11-23,Отделение №2,Закрыт,0.618
55,762,Автокредит,1665000.0,20.66,48,2024-10-13,Отделение №9,Активен,0.77
56,552,Потребительский,163000.0,7.43,12,2025-12-17,Отделение №13,Активен,0.946
57,320,Ипотека,10416000.0,20.88,120,2023-12-20,Отделение №14,Активен,0.61
58,619,Кредитная карта,252000.0,8.44,12,2025-11-18,Отделение №14,Активен,0.63
59,613,Потребительский,321000.0,14.62,36,2025-12-21,Отделение №12,Активен,0.506
60,31,Кредитная карта,72000.0,21.57,24,2025-10-28,Отделение №4,Активен,0.123
61,434,Ипотека,6157000.0,21.86,120,2024-12-20,Отделение №5,Активен,0.474
62,251,Автокредит,622000.0,13.14,48,2024-04-29,Отделение №3,Активен,0.665
63,408,Вексель,2695000.0,21.25,6,2024-02-04,Отделение №7,Закрыт,0.413
64,779,Кредитная карта,287000.0,13.16,36,2025-10-29,Отделение №3,Просрочен,0.03
65,225,Вексель,3616000.0,12.72,3,2023-09-04,Отделение №13,Закрыт,0.402
66,788,Потребительский,96000.0,23.47,12,2025-09-14,Отделение №10,Активен,0.151
67,713,Потребительский,524000.0,13.9,36,2025-07-09,Отделение №9,Активен,0.681
68,472,Кредитная карта,225000.0,6.65,24,2023-12-06,Отделение №9,Закрыт,0.28
69,148,Автокредит,782000.0,18.35,60,2024-07-02,Отделение №10,Активен,0.888
70,613,Вексель,3295000.0,13.94,9,2025-08-21,Отделение №5,Активен,0.197
71,43,Потребительский,453000.0,16.08,48,2024-03-28,Отделение №4,Активен,0.541
72,517,Потребительский,464000.0,9.44,36,2025-07-25,Отделение №13,Просрочен,0.028
73,449,Автокредит,1073000.0,24.66,48,2024-05-15,Отделение №1,Активен,0.11
74,496,Вексель,1373000.0,7.38,9,2025-04-10,Отделение №2,Активен,0.651
75,13,Ипотека,7724000.0,12.74,120,2025-03-28,Отделение №12,Активен,0.236
76,374,Кредитная карта,183000.0,16.31,36,2025-09-24,Отделение №6,Активен,0.596
77,664,Потребительский,550000.0,16.06,24,2024-02-13,Отделение №6,Активен,0.248
78,104,Автокредит,901000.0,8.3,48,2024-07-19,Отделение №14,Активен,0.712
79,24,Ипотека,2922000.0,15.26,300,2022-10-20,Отделение №6,Активен,0.446
80,190,Вексель,2073000.0,17.25,12,2025-07-05,Отделение №8,Активен,0.636
81,42,Вексель,4744000.0,9.16,12,2023-03-10,Отделение №12,Закрыт,0.127
82,17,Ипотека,11680000.0,10.41,120,2025-11-23,Отделение №12,Активен,0.473
83,430,Потребительский,469000.0,22.18,12,2025-05-17,Отделение №6,Активен,0.11
84,365,Автокредит,505000.0,13.33,36,2025-07-16,Отделение №5,Активен,0.991
85,734,Потребительский,71000.0,20.92,24,2024-02-24,Отделение №15,Активен,0.422
86,187,Кредитная карта,270000.0,21.57,12,2024-12-06,Отделение №2,Закрыт,0.489
87,762,Автокредит,576000.0,15.35,24,2024-10-13,Отделение №8,Активен,0.31
88,650,Кредитная карта,241000.0,8.94,24,2025-05-25,Отделение №11,Активен,0.139
89,695,Ипотека,6499000.0,22.44,300,2024-09-27,Отделение №13,Активен,0.325
90,346,Автокредит,2021000.0,23.06,60,2023-12-17,Отделение №1,Активен,0.339
