transaction_id,account_id,transaction_date,transaction_type,amount,channel
1,279,2025-12-30,Перевод,-90738.4,Отделение
2,693,2025-11-09,Оплата услуг,-72996.49,Банкомат
3,599,2025-12-09,Погашение кредита,-104683.69,Онлайн
4,60,2025-12-20,Пополнение,103601.17,Онлайн
5,194,2025-10-19,Оплата услуг,-130349.16,Отделение
6,901,2025-12-25,Списание,-140863.85,Банкомат
7,299,2025-06-18,Списание,-38725.36,Отделение
8,821,2025-12-10,Погашение кредита,-136468.66,Колл-центр
9,296,2025-12-06,Перевод,-136989.18,Банкомат
10,532,2025-09-17,Оплата услуг,-45805.85,Онлайн
11,739,2025-10-25,Оплата услуг,-146460.03,Онлайн
12,302,2025-12-29,Оплата услуг,-1817.06,Колл-центр
13,934,2023-07-01,Погашение кредита,-145110.88,Онлайн
14,561,2025-12-31,Пополнение,7178.74,Отделение
15,175,2025-12-27,Погашение кредита,-1648.61,Отделение
16,405,2024-03-06,Погашение кредита,-96298.58,Отделение
17,529,2025-12-12,Списание,-17165.74,Онлайн
18,290,2025-08-31,Перевод,-129195.93,Отделение
19,597,2024-05-09,Перевод,-104744.52,Отделение
20,387,2024-04-07,Перевод,-28197.96,Колл-центр
21,298,2025-03-09,Списание,-54269.7,Онлайн
22,793,2024-07-14,Пополнение,33192.34,Онлайн
23,761,2025-11-06,Оплата услуг,-84687.13,Банкомат
24,462,2023-12-19,Погашение кредита,-143194.32,Отделение
25,257,2025-07-08,Оплата услуг,-74217.29,Онлайн
26,298,2024-05-23,Пополнение,60253.52,Онлайн
27,843,2023-08-15,Оплата услуг,-148084.97,Колл-центр
28,144,2025-12-27,Погашение кредита,-61832.89,Отделение
29,207,2022-10-04,Списание,-48114.82,Банкомат
30,830,2025-04-29,Погашение кредита,-59667.15,Банкомат
31,521,2025-09-02,Списание,-64960.07,Отделение
32,47,2025-04-25,Списание,-25833.25,Банкомат
33,652,2025-09-25,Оплата услуг,-102928.27,Банкомат
34,418,2024-04-29,Пополнение,42580.41,Онлайн
35,957,2025-07-16,Списание,-11825.03,Банкомат
36,401,2025-12-30,Пополнение,9285.16,Банкомат
37,715,2024-10-03,Оплата услуг,-48488.32,Банкомат
38,782,2025-04-02,Погашение кредита,-39066.78,Банкомат
39,351,2024-09-21,Погашение кредита,-43823.77,Колл-центр
40,291,2025-05-03,Пополнение,35056.19,Колл-центр
41,967,2025-12-27,Перевод,-65537.36,Колл-центр
42,621,2025-10-12,Пополнение,83958.05,Отделение
43,965,2025-02-06,Оплата услуг,-59026.97,Банкомат
44,132,2024-07-29,Перевод,-140077.84,Отделение
45,182,2025-08-24,Перевод,-107739.35,Онлайн
46,706,2023-10-29,Оплата услуг,-135434.94,Колл-центр
47,788,2024-11-17,Оплата услуг,-96257.88,Колл-центр
48,359,2025-03-27,Списание,-82364.99,Онлайн
49,160,2025-11-17,Погашение кредита,-136184.69,Отделение
50,284,2024-03-06,Перевод,-16369.42,Отделение
51,242,2025-11-06,Списание,-38491.71,Колл-центр
52,260,2025-10-10,Оплата услуг,-80217.69,Онлайн
53,502,2022-12-14,Перевод,-4614.64,Банкомат
54,445,2025-07-14,Оплата услуг,-47356.76,Онлайн
55,897,2025-08-21,Оплата услуг,-95777.92,Банкомат
56,324,2025-07-22,Пополнение,107908.48,Колл-центр
57,734,2023-07-31,Оплата услуг,-40873.17,Банкомат
58,975,2025-12-16,Оплата услуг,-85097.7,Колл-центр
59,280,2025-07-15,Пополнение,24696.44,Банкомат
60,462,2025-10-29,Пополнение,67285.08,Онлайн
61,603,2025-12-07,Перевод,-81545.11,Онлайн
62,431,2024-05-07,Погашение кредита,-147402.93,Онлайн
63,522,2025-07-11,Пополнение,137104.32,Онлайн
64,422,2025-06-11,Перевод,-104865.41,Колл-центр
65,443,2025-02-14,Оплата услуг,-65958.92,Онлайн
66,493,2025-05-20,Списание,-40342.56,Колл-центр
67,273,2025-08-22,Пополнение,14645.71,Онлайн
68,81,2025-12-19,Списание,-118564.18,Колл-центр
69,309,2025-12-11,Перевод,-49799.7,Колл-центр
70,289,2025-12-13,Пополнение,19514.66,Отделение
71,177,2023-11-20,Погашение кредита,-828.63,Банкомат
72,982,2025-09-29,Перевод,-67927.0,Отделение
73,284,2025-05-19,Оплата услуг,-98636.36,Банкомат
74,681,2025-12-14,Списание,-109333.54,Онлайн
75,592,2025-04-25,Погашение кредита,-96721.06,Отделение
76,974,2025-12-22,Перевод,-78715.33,Колл-центр
77,961,2025-03-26,Перевод,-106371.28,Колл-центр
78,386,2024-11-30,Оплата услуг,-143606.05,Отделение
79,933,2025-01-22,Перевод,-105147.98,Онлайн
80,135,2023-09-28,Перевод,-4695.93,Отделение
81,886,2025-11-01,Погашение кредита,-60252.41,Колл-центр
82,702,2025-11-14,Погашение кредита,-120026.53,Банкомат
83,317,2025-02-21,Перевод,-80150.58,Банкомат
84,391,2025-05-06,Оплата услуг,-37419.6,Отделение
85,641,2025-08-28,Оплата услуг,-119450.44,Банкомат
86,494,2024-02-18,Списание,-90501.01,Колл-центр
87,803,2025-10-25,Оплата услуг,-60908.12,Отделение
88,852,2025-07-27,Списание,-50156.85,Отделение
89,450,2025-11-19,Списание,-128561.76,Онлайн
90,484,2025-08-12,Списание,-8666.83,Онлайн
91,413,2025-06-18,Оплата услуг,-29325.87,Банкомат
92,300,2025-10-18,Пополнение,17680.3,Отделение
93,795,2024-03-20,Перевод,-59873.97,Отделение
94,69,2024-04-12,Перевод,-26722.49,Колл-центр
95,77,2025-11-13,Оплата услуг,-25864.83,Колл-центр
96,959,2023-10-06,Списание,-29404.75,Колл-центр
97,715,2024-10-05,Перевод,-41535.51,Банкомат
98,847,2025-03-03,Пополнение,111081.44,Банкомат
99,595,2025-05-15,Перевод,-130715.17,Отделение
100,223,2025-04-07,Пополнение,15966.88,Банкомат
101,78,2025-06-12,Погашение кредита,-39893.5,Банкомат
102,894,2025-04-19,Перевод,-25171.75,Онлайн
103,361,2025-05-03,Погашение кредита,-79815.49,Банкомат
104,195,2023-12-21,Перевод,-56909.1,Онлайн
